participantID,generation_number,chain_number,chainID,event,age,extrovert,TotalLanguages,Gender,NumOfNativeLanguages,diff_in_age,diff_in_extrovert,diff_in_gender,diff_in_TotalNativeLanguages,diff_in_TotalLanguages,total_dist_Donner,diff_in_gesture_space_Donner,gesture_space_Donner,diff_in_entropy_Donner,entropy_Donner,diff_in_variability_Donner,variability_Donner,diff_in_bounding_box_Donner,bounding_box_Donner,diff_in_intermittency_Donner,intermittency_Donner,diff_in_time_Donner,time_Donner,total_dist_kalt,diff_in_gesture_space_kalt,gesture_space_kalt,diff_in_entropy_kalt,entropy_kalt,diff_in_variability_kalt,variability_kalt,diff_in_bounding_box_kalt,bounding_box_kalt,diff_in_intermittency_kalt,intermittency_kalt,diff_in_time_kalt,time_kalt,total_dist_rennen,diff_in_gesture_space_rennen,gesture_space_rennen,diff_in_entropy_rennen,entropy_rennen,diff_in_variability_rennen,variability_rennen,diff_in_bounding_box_rennen,bounding_box_rennen,diff_in_intermittency_rennen,intermittency_rennen,diff_in_time_rennen,time_rennen,total_dist_leise,diff_in_gesture_space_leise,gesture_space_leise,diff_in_entropy_leise,entropy_leise,diff_in_variability_leise,variability_leise,diff_in_bounding_box_leise,bounding_box_leise,diff_in_intermittency_leise,intermittency_leise,diff_in_time_leise,time_leise,total_dist_langsam,diff_in_gesture_space_langsam,gesture_space_langsam,diff_in_entropy_langsam,entropy_langsam,diff_in_variability_langsam,variability_langsam,diff_in_bounding_box_langsam,bounding_box_langsam,diff_in_intermittency_langsam,intermittency_langsam,diff_in_time_langsam,time_langsam,diff_in_gesture_space_mean,diff_in_entropy_mean,diff_in_variability_mean,diff_in_bounding_box_mean,diff_in_intermittency_mean,diff_in_time_mean,total_dist_mean,gesture_space_mean,entropy_mean,variability_mean
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,ch1g1,lndw,26.0,40.0,3.0,Woman / Weiblich,1.0,,,,,,2810.4228993047755,0.36740989300777693,0.99103267984894,0.20723452582939705,2.916205961450928,224.48647573173187,375.00000000000045,0.135633428875603,0.2150396905367172,0.135633428875603,0.2150396905367172,733.333333333283,2483.3333333333785,780.4024409493288,0.09609509554260887,0.815923152011077,0.13491708873151476,2.107481012303948,0.0,0.0,0.02197390167490519,0.1354059060260337,0.02197390167490519,0.1354059060260337,550.0000000000009,3233.333333333325,1798.0420354265104,0.052172615956334295,0.0448270997435387,0.02229378312155683,2.754613985201931,77.52713473463118,38.18813079130014,0.022062072810989,0.0249581467424592,0.022062072810989,0.0249581467424592,1100.000000000005,4249.999999999992,1690.0032983432395,0.08654372276783362,0.4176065805098441,0.1328903932169605,1.4463056239589889,916.6666666666678,0.0,0.0067976576748831966,0.0638305118339724,0.0067976576748831966,0.0638305118339724,766.6666666666624,3183.3333333333217,1230.944920325365,0.32428789052261725,0.4032405801330559,0.02798105470290979,2.778851170425802,171.4403303510075,38.58612300930038,0.0783653166262176,0.0243832895310741,0.0783653166262176,0.0243832895310741,533.3333333333467,3483.3333333333194,0.1853018435594342,0.10506336912046779,278.02412149680765,0.0529664755325196,0.0529664755325196,736.6666666666596,1661.9631188698436,0.5345260184492912,2.4006915506683195,90.35485076012019
2,2,1,ch1g2,lndw,24.0,17.0,7.0,Prefer not to say / Keine Angabe,1.0,2,23,1,0,4,841.5384334889349,0.12287505772575447,1.1139077375746944,0.22565078966845364,2.6905551717824743,93.05349488501378,468.05349488501423,0.014015280843861416,0.2010244096928558,0.014015280843861416,0.2010244096928558,249.99999999995407,2733.3333333333326,3095.965191075675,0.08016416437168605,0.8960873163827631,0.3826096066425657,1.7248714056613823,1166.6666666666615,1166.6666666666615,0.019111781221430507,0.1545176872474642,0.019111781221430507,0.1545176872474642,1800.0000000000173,5033.333333333342,1479.6900973845818,0.012022038972842201,0.0568491387163809,0.10726093277577275,2.861874917977704,93.0021293416129,131.19026013291304,0.004856241259390801,0.02981438800185,0.004856241259390801,0.02981438800185,683.3333333333267,3566.666666666665,1501.9663805200307,0.05003085876288488,0.467637439272729,0.45895893025900714,1.905264554217996,883.3333333333352,883.3333333333352,0.010222459336716602,0.074052971170689,0.010222459336716602,0.074052971170689,583.3333333333344,2599.9999999999873,1239.6457065988573,0.1494020979512392,0.5526426780842951,0.038018376442113144,2.816869546867915,206.63046052351478,245.21658353281515,0.033500189432419905,0.057883478963494,0.033500189432419905,0.057883478963494,683.3333333332721,4166.6666666665915,0.08289884355688136,0.24249972715758247,488.5372169500277,0.016341190418763845,0.016341190418763845,799.9999999999809,1631.7611618136161,0.6174248620061725,2.399887119301494,578.8920677101478
3,3,1,ch1g3,lndw,32.0,60.0,3.0,Woman / Weiblich,1.0,8,43,1,0,4,4512.72186701375,0.10190526731658034,1.012002470258114,0.19843751332143134,2.8889926851039056,245.44580451147266,222.60769037354157,0.10075037947362869,0.3017747891664845,0.10075037947362869,0.3017747891664845,850.0000000000091,3583.3333333333417,2583.666060285406,0.33046319564351734,0.5656241207392457,0.016944279377009597,1.7079271262843727,176.8362175877753,1343.5028842544368,0.04403891211297141,0.1104787751344928,0.04403891211297141,0.1104787751344928,2083.3333333333558,2949.9999999999864,1718.02956826606,0.0032236921458212997,0.0600728308622022,0.021928006015580426,2.8399469119621235,89.52359346624445,41.66666666666858,0.026119655394547397,0.0559340433963974,0.026119655394547397,0.0559340433963974,500.00000000000864,4066.666666666674,2124.110864284112,0.05658948465836172,0.4110479546143673,0.5864714305427949,2.491735984760791,294.7065572846409,588.6267760486943,0.002311941985553498,0.0763649131562425,0.002311941985553498,0.0763649131562425,833.3333333333317,1766.6666666666556,1833.1302319094675,0.08444510884800682,0.637087786932302,0.018299270078346197,2.835168816946261,159.32259202131902,85.89399151149613,0.06857531045693602,0.12645878942043,0.06857531045693602,0.12645878942043,1050.0000000000837,5216.666666666675,0.11532534972245752,0.1684160998670325,193.16695297429047,0.048359239884727394,0.048359239884727394,1063.333333333358,2554.331718351759,0.5371670326812461,2.552754305011491,456.4596017709675
4,4,1,ch1g4,lndw,60.0,86.0,3.0,Woman / Weiblich,1.0,28,26,0,0,0,515.2356858643449,0.5524300802292468,1.5644325504873609,0.022426160186679756,2.866566524917226,206.19474406191898,428.80243443546055,0.27072200733912555,0.57249679650561,0.27072200733912555,0.57249679650561,299.99999999997226,3283.3333333333694,6814.974681428826,0.3015098873467772,0.8671340080860229,0.09913830216893982,1.608788824115433,88.26386319112112,1255.2390210633157,0.0712887921729038,0.1817675673073966,0.0712887921729038,0.1817675673073966,3516.6666666667097,6466.666666666696,715.4153259921483,0.031195553502806707,0.0912683843650089,0.06730228788595216,2.7726446240761713,12.339505820064453,54.006172486733035,0.0363355143183419,0.0922695577147393,0.0363355143183419,0.0922695577147393,383.33333333336986,4450.000000000044,6194.207179242157,0.02934867076106662,0.4403966253754339,0.4687286516438207,2.0230073331169702,184.05223958408214,404.57453646461215,0.013798528984471106,0.0901634421407136,0.013798528984471106,0.0901634421407136,3316.6666666666883,5083.333333333344,7592.336781505759,0.5095537233007024,1.1466415102330043,0.004602931460441884,2.8305658854858193,480.3187581414983,566.2127496529944,0.031879689214623974,0.158338478635054,0.031879689214623974,0.158338478635054,4366.666666666653,9583.333333333328,0.2848075830281199,0.13243966666916687,194.233822159737,0.08480490640589326,0.08480490640589326,2376.666666666679,4366.4339308066465,0.8219746157093661,2.420314638342324,541.7669828206233
5,5,1,ch1g5,lndw,59.0,66.0,2.0,Man / Männlich,1.0,1,20,1,0,1,5758.685378124526,0.22231164792445535,1.7867441984118162,0.6753303039750662,2.1912362209421596,412.3690370520486,841.1714714875092,0.14127763106968438,0.7137744275752944,0.14127763106968438,0.7137744275752944,2833.333333333322,6116.6666666666915,5855.261845088569,0.19262764920254072,0.6745063588834822,0.6976580263064651,2.306446850421898,880.3806149821198,374.8584060811958,0.04335295871945,0.2251205260268466,0.04335295871945,0.2251205260268466,533.3333333335786,5933.3333333331175,6477.377757356047,0.02233970492739759,0.1136080892924065,0.0173302445826784,2.755314379493493,5.796952802216232,48.2092196845168,0.035016181479574394,0.0572533762351649,0.035016181479574394,0.0572533762351649,3683.3333333333385,8133.333333333382,5841.984677218951,0.17433762740231368,0.2660589979731202,1.1691153625467257,0.8538919705702446,404.57453646461215,0.0,0.002301299657359701,0.0924647417980733,0.002301299657359701,0.0924647417980733,2200.0000000000427,7283.333333333387,5975.788958261672,0.1422474479035689,1.0043940623294354,0.08752283478734224,2.743043050698477,310.8456158282644,255.36713382473,0.002060439673356923,0.1603989183084109,0.002060439673356923,0.1603989183084109,3433.3333333332066,13016.666666666535,0.15077281547205523,0.5293913544396556,402.7933514258522,0.04480170211988508,0.04480170211988508,2536.666666666698,5981.819723209954,0.7690623413780522,2.1699864944252543,303.9212462155903
6,6,1,ch1g6,lndw,24.0,71.0,3.0,Woman / Weiblich,1.0,35,5,1,0,1,6676.397863414644,0.7359796248157291,1.050764573596087,0.3093231045052507,2.5005593254474103,215.63003933986852,625.5414321476406,0.3616363060773009,0.3521381214979935,0.3616363060773009,0.3521381214979935,1366.6666666666606,7483.333333333352,3234.535526182836,0.5264472471073485,0.1480591117761338,0.37857564822909984,2.685022498650998,68.69103999118016,443.549446072376,0.1784539833763885,0.0466665426504581,0.1784539833763885,0.0466665426504581,2466.6666666665765,3466.666666666541,6395.825252758183,0.006958314215736797,0.1066497750766697,0.06258860158912327,2.817902981082616,182.33779816138824,230.54701784590503,0.016096861536558794,0.0733502377717237,0.016096861536558794,0.0733502377717237,3966.666666666697,4166.666666666685,3312.937809896593,0.06293109410929082,0.2031279038638294,0.38334752052145427,1.2372394910916988,1800.0000000000014,1800.0000000000014,0.04334412884364271,0.0491206129544306,0.04334412884364271,0.0491206129544306,1966.6666666666988,5316.666666666688,3687.758927077262,0.29031088040451425,0.7140831819249212,0.0019400057777962942,2.741103044920681,446.98537010796406,702.352503932694,0.045889009328592203,0.1145099089798187,0.045889009328592203,0.1145099089798187,2099.9999999999545,10916.66666666658,0.32452543213052387,0.22715497612454488,542.7288495200804,0.1290840578324966,0.1290840578324966,2373.3333333333176,4661.491075865903,0.4445369092475282,2.396365468238681,760.3980799997234
7,7,1,ch1g7,lndw,50.0,40.0,2.0,Woman / Weiblich,1.0,26,31,0,0,1,5253.151497479497,0.13005579300566827,1.1808203666017554,0.26262523239560487,2.763184557843015,592.2080988143153,33.3333333333253,0.07416620077627512,0.2779719207217184,0.07416620077627512,0.2779719207217184,3650.0000000000127,3833.3333333333394,7775.575729803834,0.3434247148007503,0.4914838265768841,1.204346436822579,1.480676061828419,617.6343792430621,1061.183825315438,0.15674536951473528,0.2034119121651934,0.15674536951473528,0.2034119121651934,6566.666666666779,10033.33333333332,1514.9263007601585,0.09000744815388509,0.1966572232305548,0.01984707810784636,2.79805590297477,1.1833115831961436,229.3637062627089,0.033391125768145,0.0399591120035787,0.033391125768145,0.0399591120035787,1049.9999999999955,5216.666666666681,2102.9080674516485,0.23360921560849068,0.4367371194723201,0.24328100875708247,0.9939584823346164,266.6666666666624,2066.666666666664,0.014936129372613308,0.0640567423270439,0.014936129372613308,0.0640567423270439,200.00000000000728,5116.666666666681,4482.35329612653,0.14416879348900402,0.5699143884359171,0.059614125759039016,2.80071717067972,156.01540564472714,546.3370982879669,0.083327759319702,0.0311821496601167,0.083327759319702,0.0311821496601167,2583.3333333332976,8333.333333333283,0.18825319301155968,0.3579427763684303,326.74157239039266,0.07251331695029414,0.07251331695029414,2810.000000000018,4225.782978324334,0.5751225848634863,2.167318435132108,787.3769259732206
8,8,1,ch1g8,lndw,24.0,54.0,5.0,Woman / Weiblich,4.0,26,14,0,3,3,573.6826827929215,0.017803921794732114,1.1986242883964875,0.12339532696120781,2.886579884804223,37.37734478532414,70.71067811864944,0.06458408738052013,0.3425560081022385,0.06458408738052013,0.3425560081022385,400.0000000000032,3433.333333333336,6696.1185601666375,0.006600218140548397,0.4848836084363357,0.49552687196808276,1.9762029337965017,544.6696649192008,1605.853490234639,0.034690464393635684,0.1687214477715577,0.034690464393635684,0.1687214477715577,4633.333333333262,5400.000000000057,2002.057454928748,0.0475462628874328,0.149110960343122,0.06730834159372101,2.865364244568491,184.57338543883006,44.79032082387883,0.001085458146106201,0.0410445701496849,0.001085458146106201,0.0410445701496849,1183.3333333333212,4033.3333333333594,3440.365182052228,0.08905677395147177,0.3476803455208483,0.13597572184739637,0.85798276048722,2066.666666666664,0.0,0.027906135586054995,0.0919628779130989,0.027906135586054995,0.0919628779130989,1283.3333333333549,3833.3333333333258,1462.3736825490137,0.36307365443180084,0.932988042867718,0.061338151566492805,2.8620553222462126,170.92586201737817,375.41123627058874,0.10576456211969021,0.1369467117798069,0.10576456211969021,0.1369467117798069,716.6666666666952,9049.999999999978,0.10481616624119719,0.17670888278738014,600.8425847654794,0.04680614152520145,0.04680614152520145,1643.3333333333271,2834.9195124979096,0.6226574491129023,2.28963702918053,419.3531450895513
9,9,1,ch1g9,lndw,58.0,50.0,1.0,Woman / Weiblich,1.0,34,4,0,3,4,424.4155161693811,0.26242818556709957,1.461052473963587,0.333038636656648,2.553541248147575,291.5354015319389,362.24607965058834,0.20367692811208604,0.5462329362143246,0.20367692811208604,0.5462329362143246,16.66666666664969,3449.999999999986,807.316453854538,0.24084776523717344,0.7257313736735092,0.037645953030286616,2.0138488868267883,160.6433569493886,1766.4968471840275,0.028760385506709285,0.197481833278267,0.028760385506709285,0.197481833278267,283.3333333332921,5683.333333333349,2996.511059417722,0.018806923285244498,0.1679178836283665,0.030788998707081294,2.8345752458614095,202.54111572670732,247.33143655058615,0.03691987210754281,0.0779644422572277,0.03691987210754281,0.0779644422572277,1883.3333333333367,5916.666666666696,2881.358179179621,0.1350363839283042,0.4827167294491525,0.5084204498977264,1.3664032103849464,1999.999999999996,1999.999999999996,0.008112568630803105,0.0838503092822958,0.008112568630803105,0.0838503092822958,1466.666666666736,5300.000000000062,3263.942005806995,0.548203173786697,0.384784869081021,0.34055790452753776,2.521497417718675,92.66698606219632,468.07822233278506,0.11856814500277982,0.0183785667770271,0.11856814500277982,0.0183785667770271,1699.99999999994,10749.999999999918,0.24106448636090377,0.250090388563856,549.4773720540454,0.07920757987198422,0.07920757987198422,1069.999999999991,2074.7086428856514,0.6444406659591273,2.257973201787879,968.8305171435966
