participantID,Age,BirthPlace,Gender,NativeLanguages,NumOfNativeLanguages,Other Languages,TotalLanguages,Extroversion,Hand,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,event,ARM_TOTAL_speed2D_mean,ARM_TOTAL_speed2D_sd,ARM_TOTAL_speed2D_range,LEG_TOTAL_speed2D_mean,LEG_TOTAL_speed2D_sd,LEG_TOTAL_speed2D_range,left_index_space2D,left_wrist_space2D,left_elbow_space2D,total_left_arm_space2D,right_index_space2D,right_wrist_space2D,right_elbow_space2D,total_right_arm_space2D,left_ankle_space2D,left_knee_space2D,left_hip_space2D,total_left_leg_space2D,right_ankle_space2D,right_knee_space2D,right_hip_space2D,total_right_leg_space2D,nose_space2D,total_head_space2D,total_gesture_space2D,right_wrist_entropy2D,left_wrist_entropy2D,right_knee_entropy2D,left_knee_entropy2D,right_ankle_entropy2D,left_ankle_entropy2D,total_body_entropy2D,total_body_entropy2Daggregated,right_wrist_variability2D,left_wrist_variability2D,total_body_variability2D,total_body_variability2Daggregated,right_wrist_boundingboxmv,left_wrist_boundingboxmv,right_elbow_boundingboxmv,left_elbow_boundingboxmv,right_shoulder_boundingboxmv,left_shoulder_boundingboxmv,right_wrist_intermittency,left_wrist_intermittency,right_elbow_intermittency,left_elbow_intermittency,right_shoulder_imtermittency,left_shoulder_intermittency
23,35.0,Deutschland ,Woman / Weiblich,Deutsch ,1.0,"English (fluent), French (advanced), Italian (beginner)",4.0,43.0,Right-handed / Rechtshänder*in,Donner_g_ch2_g3_compr.mp4,ch2g3,3.0,2.0,Donner,Donner_g_ch2,lndw,0.00048465716039995703,0.0004216499423534627,0.001420687163318508,4.8688365026909834e-05,3.119163872050023e-05,9.104498638993663e-05,0.3078901948561466,0.28480587476797886,0.1585983597571639,0.7512944293812893,0.3185959221077318,0.2653868759851794,0.12896500440821007,0.7129478025011213,0.019089032216777508,0.006679441331341967,0.004800328746673927,0.0305688022947934,0.023914124215916342,0.005854316160763408,0.004604805701230611,0.03437324607791036,0.040233822108578315,0.040233822108578315,1.5694181023636926,2.13254245437753,2.148697052695546,2.499505449209153,2.714280750852846,2.052285075397735,2.5240813552579904,14.0713921377908,2.2460055503714194,1265.0086614645138,1080.5805481257064,2345.58920959022,1274.9999999999977,,,,,,,,,,,,
0,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,0.0,1.0,kalt,kalt_g_ch1,lndw,0.00031060779815337983,0.0002517208211576787,0.001023292083209317,0.0,,,0.15921256267739434,0.13869078172197366,0.0470664677368032,0.34496981213617117,0.16595136960518309,0.14654838881796006,0.062358485909153834,0.374858244332297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7198280564684681,2.3188971550412654,2.194467856086619,0.0,0.0,0.0,0.0,4.513365011127885,2.2423981010354628,58.3333333333328,24.99999999999909,83.3333333333319,0.0,0.09016532185529755,0.15237072921044384,0.021996931192156174,0.045602052626298135,0.008101110536750465,0.0018148488033953682,0.09016532185529755,0.15237072921044384,0.021996931192156174,0.045602052626298135,0.008101110536750465,0.0018148488033953682
16,27.0,Deutschland,Man / Männlich,Deutsch ,1.0,English,2.0,30.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g16_compr.mp4,ch1g16,16.0,1.0,Donner,Donner_g_ch1,lndw,0.000618012973889111,0.0003649213452721545,0.0015926406640371879,4.016111839288177e-05,1.6561814332765597e-05,8.291891534497115e-05,0.2085039026961781,0.18248526793485056,0.0910136851375448,0.4820028557685735,0.20784725163107093,0.18063076995828037,0.09037852414768566,0.47885654573703695,0.013744458441914787,0.008653928125208439,0.0029939792589476037,0.02539236582607083,0.013945503229542733,0.011380551798923331,0.002852639938684092,0.028178694967150156,0.0,0.0,1.0144304622988314,2.5142763130781685,2.637606348968534,2.867130457391082,2.8055725643916483,2.7804156031047187,2.8032592360241853,16.408260522958336,2.775162523945503,559.60188524741,308.7114798282995,868.3133650757095,274.98729873244923,0.05123312690213898,0.04337217399934938,0.01079791587139873,0.005989448529671856,0.0015314516271118924,0.0005078874214576902,0.05123312690213898,0.04337217399934938,0.01079791587139873,0.005989448529671856,0.0015314516271118924,0.0005078874214576902
22,,,,,,,,,,onweer_g_ch2_g2_compr.mp4,ch2g2,2.0,2.0,onweer,onweer_g_ch2,nijmegen,0.0005183374737064522,0.00036189743917646865,0.001305107893967234,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1181828819092439,0.1181828819092439,0.1181828819092439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65891842261202,0.0,0.0,0.0,0.0,0.10962983089699561,0.11928226924885359,0.03139135641933896,0.03151874527143485,0.001467278747741478,0.0012880364031852922,0.10962983089699561,0.11928226924885359,0.03139135641933896,0.03151874527143485,0.001467278747741478,0.0012880364031852922
30,45.0,Dresden,Woman / Weiblich,Deutsch,1.0,Englisch,2.0,51.0,Right-handed / Rechtshänder*in,kalt_g_ch2_g10_compr.mp4,ch2g10,10.0,2.0,kalt,kalt_g_ch2,lndw,0.00024331155607167283,0.00023134251706994282,0.0009070302872778099,5.946212134463395e-05,3.6964503640365924e-05,0.00017419997798441116,0.14878927346316184,0.13698162319356275,0.07615919708696958,0.3619300937436942,0.16009223025123404,0.1349181631698083,0.04879012789732945,0.34380052131837174,0.03195482413665363,0.020969866346290545,0.00469554101640139,0.05762023149934557,0.035976789146782644,0.024340721108662353,0.004510251714004788,0.06482776196944978,0.02731894398596807,0.02731894398596807,0.8554975525168294,1.9843057328327263,1.9206220691692089,2.5057593103395996,2.154976672406706,2.6802469917681195,2.30335255274008,13.54926332925644,1.7912992759387554,1329.8797866399825,1787.7816405938488,3117.661427233831,1033.3333333333414,0.004167290611611009,0.18658633495225857,0.0031793919585483515,0.042114021450064695,0.0038940451368020762,0.011132198175959,0.004167290611611009,0.18658633495225857,0.0031793919585483515,0.042114021450064695,0.0038940451368020762,0.011132198175959
12,25.0,"Hamburg, Germany",Man / Männlich,German,1.0,"English (fluent), Spanish (fluent), French (basic)",4.0,55.0,Right-handed / Rechtshänder*in,lndw_lndw_rennen_g_ch1_g12_compr.mp4,ch1g12,12.0,1.0,lndw,lndw_lndw_rennen_g_ch1,lndw,0.0002966217926939744,0.000142083754691878,0.0006114328359317877,0.00020233463187105356,0.00010122445599537001,0.0004602941946917097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047870646482243845,0.016655363052575783,0.005704316379537304,0.07023032591435693,0.05500050049561145,0.014982647114613553,0.0055716463214454115,0.07555479393167042,0.0,0.0,0.14578511984602735,0.0,0.0,2.832652962982431,2.7317923526474575,2.4991004364645533,2.3972548629141714,10.460800615008612,2.785682688279008,0.0,0.0,0.0,221.82504188289423,0.053838135641421606,0.07801646571188557,0.008521876006444235,0.017267337386877205,0.0017223899521737987,0.0018355909346771655,0.053838135641421606,0.07801646571188557,0.008521876006444235,0.017267337386877205,0.0017223899521737987,0.0018355909346771655
37,52.0,Österreich,Woman / Weiblich,"Österreichisch, deutsch",2.0,Englisch (fließend),3.0,74.0,Right-handed / Rechtshänder*in,leise_g_ch2_g17_compr.mp4,ch2g17,17.0,2.0,leise,leise_g_ch2,lndw,0.0001298508094116793,0.0002188585271008403,0.0007080989104104443,0.0,,,0.0,0.0,0.0,0.0,0.12172365633881098,0.10055082744948868,0.026199001988345093,0.24847348577664477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24847348577664477,0.6467679009748238,0.0,0.0,0.0,0.0,0.0,0.6467679009748238,0.6582918100668019,2433.3333333333358,0.0,2433.3333333333358,2433.3333333333358,0.012320222801263634,0.03006301387994162,0.0014172237726146862,0.0017761733428118373,0.0006700422955296404,0.0008675322516351853,0.012320222801263634,0.03006301387994162,0.0014172237726146862,0.0017761733428118373,0.0006700422955296404,0.0008675322516351853
26,,,Woman / Weiblich,,,,,,,kalt_g_ch2_g6_compr.mp4,ch2g6,6.0,2.0,kalt,kalt_g_ch2,lndw,0.00020053101757060612,0.0001721934686058311,0.0006989072493642185,0.0,,,0.04456100622385509,0.04255316008279289,0.03134048712361123,0.11845465343025921,0.07044001791066352,0.06666793212059444,0.03840101420521454,0.1755089642364725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29396361766673174,2.2174188351038886,2.4343352104809344,0.0,0.0,0.0,0.0,4.651754045584823,2.2082270969631828,294.03797940629147,329.33819826133214,623.3761776676236,339.8236450563299,0.07661815280098873,0.0002585152656946237,0.003037414189591563,0.0002799776781351935,0.0005370663669657549,0.00040126344901325904,0.07661815280098873,0.0002585152656946237,0.003037414189591563,0.0002799776781351935,0.0005370663669657549,0.00040126344901325904
5,59.0,Berlin ,Man / Männlich,Deutsch,1.0,Englisch,2.0,66.0,Right-handed / Rechtshänder*in,Donner_g_ch1_g5_compr.mp4,ch1g5,5.0,1.0,Donner,Donner_g_ch1,lndw,0.0007058627636208139,0.000540977385724517,0.002318949367580324,4.7969326706419406e-05,2.6180655256141098e-05,0.00012596528281465547,0.39342925656924255,0.3391152331319205,0.1605628538368678,0.8931073435380308,0.3557263733404454,0.311341480565766,0.15759434139497216,0.8246621953011836,0.017772233293840797,0.010318773900478934,0.003480275020746245,0.03157128221506598,0.02270036695446434,0.011698914106871901,0.003004096296199686,0.03740337735753593,0.0,0.0,1.7867441984118162,2.3089865243386067,2.259391483752771,2.5014507605208185,2.4057300548270715,2.666896547335098,2.7499816101080783,14.892436980882444,2.1912362209421596,989.5004351242676,856.064963786183,1845.5653989104505,841.1714714875092,0.0654300675185498,0.04823961750424297,0.014480468389583532,0.012162626420050195,0.0031003327415688614,0.0010890170966506656,0.0654300675185498,0.04823961750424297,0.014480468389583532,0.012162626420050195,0.0031003327415688614,0.0010890170966506656
4,,,,,,,,,,onweer_g_ch1_g4_compr.mp4,ch1g4,4.0,1.0,onweer,onweer_g_ch1,nijmegen,0.00033899856205856887,0.00024008018778200635,0.0009475461236135798,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4807305257058174,0.0,0.0,0.0,683.3333333333259,0.2505542197642113,0.31592345489229223,0.06670320143666994,0.07354897368764302,0.0035313363106047858,0.00351324148387327,0.2505542197642113,0.31592345489229223,0.06670320143666994,0.07354897368764302,0.0035313363106047858,0.00351324148387327
